美瑛神社,北海道上川郡美瑛町東町４丁目１−１‎
八幡神社（大和郡山市池之内町）,奈良県大和郡山市池之内町559-1
八幡神社（大和郡山市豊浦町）,奈良県大和郡山市豊浦町159
八王子神社（大和郡山市宮堂町）,奈良県大和郡山市宮堂町402
厳島神社（大和高田市松塚）,奈良県大和高田市松塚868
春日神社（天理市遠田町）,奈良県天理市遠田町375
熊野速玉大社,和歌山県新宮市新宮1
神倉神社,和歌山県新宮市神倉1-13-8
塩竈神社 (和歌山市),和歌山県和歌山市和歌浦中3-4-25
藤白神社,和歌山県海南市藤白466
熊野本宮大社,和歌山県田辺市本宮町本宮1100
吉田八幡神社,和歌山県御坊市藤田町吉田2268
住吉神社（田辺市中辺路町）,和歌山県田辺市中辺路町小松原123番地の2
宝神社,和歌山県御坊市湯川町大字財部865
須佐神社 (田辺市),和歌山県田辺市中万呂5
和歌浦天満宮,和歌山県和歌山市和歌浦西2-1-24
三須和神社,和歌山県西牟婁郡白浜町安居834
矢倉神社,和歌山県東牟婁郡串本町高富429
刺田比古神社,和歌山県和歌山市片岡町2-9
竈山神社,和歌山県和歌山市和田438
鳴神社,和歌山県和歌山市鳴神1089
宝神社,和歌山県御坊市湯川町大字財部865
海神社,和歌山県紀の川市神領272番地
須賀神社（和歌山県日高郡）,和歌山県日高郡みなべ町西本庄242
鬪鶏神社,和歌山県田辺市東陽1-1
須佐神社 (田辺市),和歌山県田辺市中万呂5
須佐神社 (田辺市),和歌山県田辺市中万呂5
紀州東照宮,和歌山県和歌山市和歌浦西2-1-20
須佐神社（有田市）,和歌山県有田市千田字中雄山1641
八幡神社（橋本市北馬場）,和歌山県橋本市北馬場274番地
水門神社,和歌山県東牟婁郡串本町大島73番地の2
明神崎神社,和歌山県東牟婁郡古座川町佐田74
明神神社（和歌山県東牟婁郡）,和歌山県東牟婁郡古座川町川口444
八坂神社（串本町伊串）,和歌山県東牟婁郡串本町伊串166
八坂神社（古座川町池野山）,和歌山県東牟婁郡古座川町池野山1784
八幡神社（串本町津荷）,和歌山県東牟婁郡串本町津荷886
若宮八幡神社（和歌山県東牟婁郡）,和歌山県東牟婁郡古座川町平井1175
中玉神社,和歌山県東牟婁郡古座川町大字成川758
雷公神社,和歌山県東牟婁郡串本町樫野1037
八幡神社（古座川町三尾川）,和歌山県東牟婁郡古座川町三尾川391
八幡神社（古座川町小川）,和歌山県東牟婁郡古座川町小川554
八幡神社（串本町和深）,和歌山県東牟婁郡串本町和深1123
八幡神社（勝浦町勝浦）,和歌山県東牟婁郡那智勝浦町大字勝浦859
祓神社,和歌山県東牟婁郡古座川町月ノ瀬234
東山神社,和歌山県東牟婁郡古座川町大桑78
富二橋神社,和歌山県東牟婁郡串本町鬮野川758
平和神社,和歌山県東牟婁郡古座川町下露389
諏訪神社（智勝浦町湯川）,和歌山県東牟婁郡那智勝浦町湯川169
須佐神社 (田辺市),和歌山県田辺市中万呂5
大神社（東牟婁郡古座川町）,和歌山県東牟婁郡古座川町山手870
紀州東照宮,和歌山県和歌山市和歌浦西2-1-20
大徳神社,和歌山県東牟婁郡那智勝浦町大字狗子ノ川335
地主神社（串本町神野川）,和歌山県東牟婁郡串本町神野川192
地主神社（串本町古田）,和歌山県東牟婁郡串本町古田478
天神社,和歌山県東牟婁郡那智勝浦町大字天満308
天満天神社（那智勝浦町下里）,和歌山県東牟婁郡那智勝浦町大字下里2610
天満神社（串本町田並）,和歌山県東牟婁郡串本町田並5
登坂神社,和歌山県東牟婁郡古座川町宇筒井55
鹽竃神社（東牟婁郡那智勝浦町）,和歌山県東牟婁郡那智勝浦町大字浦神320
潮御崎神社（東牟婁郡串本町）,和歌山県東牟婁郡串本町潮岬2878
下里神社,和歌山県東牟婁郡那智勝浦町大字下里123
神明神社（和歌山県東牟婁郡）,和歌山県東牟婁郡那智勝浦町大字高津気2
住吉神社（東牟婁郡古座川町）,和歌山県東牟婁郡古座川町蔵土450
諏訪神社（東牟婁郡那智勝浦町）,和歌山県東牟婁郡那智勝浦町小匠514
諏訪神社（東牟婁郡那智勝浦町長井）,和歌山県東牟婁郡那智勝浦町大字長井856
諏訪神社（那智勝浦町二河）,和歌山県東牟婁郡那智勝浦町大字二河369
王子神社（東牟婁郡那智勝浦町）,和歌山県東牟婁郡那智勝浦町市野々1993
太田神社（東牟婁郡那智勝浦町）,和歌山県東牟婁郡那智勝浦町大字市屋875
大原神社,和歌山県東牟婁郡那智勝浦町大字庄270
尾崎神社,和歌山県東牟婁郡古座川町西赤木89
河内神社,和歌山県東牟婁郡古座川町宇津木171
重山神社,和歌山県東牟婁郡串本町伊串862
熊野三所大神社,和歌山県東牟婁郡那智勝浦町大字浜ノ宮350
神戸神社,和歌山県東牟婁郡古座川町高池宮ノ下323
古座神社,和歌山県東牟婁郡串本町古座347
金刀比羅神社（東牟婁郡太地町）,和歌山県東牟婁郡太地町太地113
木葉神社,和歌山県東牟婁郡串本町田原551
青彦神社（東牟婁郡那智勝浦町）,和歌山県東牟婁郡那智勝浦町井関972
朝貴神社,和歌山県東牟婁郡串本町出雲58
飛鳥神社（東牟婁郡太地町）,和歌山県東牟婁郡太地町太地3169
飛鳥神社（東牟婁郡太地町川関）,和歌山県東牟婁郡那智勝浦町川関289
有田神社,和歌山県東牟婁郡串本町有田上165
稲荷神社（東牟婁郡串本町二色）,和歌山県東牟婁郡串本町二色645
宇久井神社,和歌山県東牟婁郡那智勝浦町大字宇久井233
宇佐八幡神社（東牟婁郡串本町）,和歌山県東牟婁郡串本町上田原1931
氏神社,和歌山県東牟婁郡串本町姫川100
盛長神社,和歌山県西牟婁郡白浜町534
八上神社,和歌山県西牟婁郡上富田町岡1382
阿須賀神社,和歌山県新宮市阿須賀1-2-25
天御中主神社,和歌山県新宮市佐野山田1065
嚴島神社（新宮市熊野川町）,和歌山県新宮市熊野川町九重1104
甲明神社,和歌山県新宮市熊野川町相須1
紀州東照宮,和歌山県和歌山市和歌浦西2-1-20
須佐神社（新宮市南檜杖）,和歌山県新宮市南檜杖652
高倉神社（新宮市熊野川町小口）,和歌山県新宮市熊野川町上長井字小口381
高倉神社（新宮市熊野川町赤木）,和歌山県新宮市熊野川町赤木466
紀州東照宮,和歌山県和歌山市和歌浦西2-1-20
高倉神社（新宮市高田）,和歌山県新宮市高田568
熊野三所神社,和歌山県西牟婁郡白浜町744
日吉神社（和歌山県西牟婁郡）,和歌山県西牟婁郡上富田町生馬山王1403
熊野神社（西牟婁郡白浜町）,和歌山県西牟婁郡白浜町才野1757
金刀比羅神社（和歌山県西牟婁郡）,和歌山県西牟婁郡白浜町中鳥之倉1702
山神社,和歌山県西牟婁郡白浜町3035
天光神社,和歌山県西牟婁郡すさみ町小河内郷蔵525
中山神社,和歌山県西牟婁郡すさみ町佐本中196
日神社,和歌山県西牟婁郡白浜町十九渕1177
吉備津神社,岡山県岡山市北区吉備津931
岩山神社（新見市上熊寺元）,岡山県新見市上熊谷寺元3928
硯井天満宮,岡山県玉野市八浜町大崎天神１６９－１
岩山神社（小田郡矢掛町）,岡山県小田郡矢掛町浅海752
和気神社,岡山県和気郡和気町藤野1385
熊野神社 (倉敷市林),岡山県倉敷市林684
御鴨神社,岡山県真庭郡新庄村梨瀬5388
岩山神社（井原市）,岡山県井原市上出部町1198
岩山神社（小田郡）,岡山県小田郡矢掛町中1912
牛窓神社,岡山県瀬戸内市牛窓町牛窓2147
岡山県護国神社,岡山県岡山市中区奥市3-21
岩山神社（新見市草間）,岡山県新見市草間7389
岩山神社（新見市豊永宇山）,岡山県新見市豊永宇山625
鴨神社,岡山県玉野市長尾1173
岩山神社（小田郡）,岡山県小田郡矢掛町中1912
岩山神社（岡山市）,岡山県岡山市北区杉谷1166
岩山神社（高梁市）,岡山県高梁市巨瀬町3335
岩山神社（新見市唐松）,岡山県新見市唐松3286
玉井宮東照宮,岡山県岡山市中区東山1－3－81
大津神社（真庭市）,岡山県真庭市余野下728
吉備津彦神社,岡山県岡山市北区一宮1043
安仁神社,岡山県岡山市東区西大寺一宮895
石上布都魂神社,岡山県赤磐市石上字風呂谷1448
中山神社,岡山県津山市一宮695
垂水天満宮,広島県尾道市瀬戸田町垂水
厳島神社,広島県廿日市市宮島町1-1
厳島神社（庄原市総領町）,広島県庄原市総領町亀谷1226
八幡神社（府中市上下町）,広島県府中市上下町矢多田191
中倉神社,広島県広島市安芸区瀬野5-11-25
亀森八幡神社,広島県尾道市向島町兼吉723
大鳴戸神社,広島県三次市粟屋町499
廣田神社,広島県廿日市市串戸3-7-1
海津神社,広島県庄原市東城町小串528
宮脇山八幡神社（福山市内海町）,広島県福山市内海町928-1
照日神社（広島市安佐北区）,広島県広島市安佐北区大林町3308
右平神社,広島県広島市安佐北区安佐町飯室6009
荒神社（福山市駅家町）,広島県福山市駅家町雨木640
太平神社,広島県三次市下川立町180
若一神社（広島県安芸高田市）,広島県安芸高田市甲田町浅塚376
廣田神社,広島県廿日市市串戸3-7-1
宍戸司箭神社,広島県安芸高田市甲田町上甲立
八幡神社（安芸高田市高宮町）,広島県安芸高田市高宮町佐々部93
海津神社,広島県庄原市東城町小串528
宮脇山八幡神社（福山市内海町）,広島県福山市内海町928-1
八幡神社（福山市春日町）,広島県福山市春日町浦上488
沖原山神社,広島県安芸高田市高宮町川根2992
國貞山神社,広島県安芸高田市向原町坂1377
清神社,広島県安芸高田市吉田町国司221
桑田八幡神社,広島県安芸高田市美土里町桑田622
川角山神社,広島県安芸高田市美土里町生田2759
石田山神社,広島県安芸高田市高宮町房後582
上河内八幡神社,広島県安芸高田市美土里町本郷6812
海津神社,広島県庄原市東城町小串528
宮脇山八幡神社（福山市内海町）,広島県福山市内海町928-1
若一神社（広島県安芸高田市）,広島県安芸高田市甲田町浅塚376
廣田神社,広島県廿日市市串戸3-7-1
清神社（安芸高田市吉田町）,広島県安芸高田市吉田町吉田476
宇佐神社（広島県安芸高田市）,広島県安芸高田市吉田町多治比2861
新宮神社（安芸高田市甲田町）,広島県安芸高田市甲田町上甲立241
荒神社（安芸高田市甲田町）,広島県安芸高田市甲田町上甲立140
大歳神社（廿日市市宮内）,広島県廿日市市宮内明石2938
速田神社,広島県廿日市市吉和3893
海津神社,広島県庄原市東城町小串528
宮脇山八幡神社（福山市内海町）,広島県福山市内海町928-1
疫神社（広島県廿日市市）,広島県廿日市市津田2808-1
新宮神社,広島県廿日市市新宮1-5-11
眞幡神社,広島県廿日市市津田1979
河内神社（廿日市市虫所山）,広島県廿日市市虫所山助藤966
八幡神社（廿日市市吉和）,広島県廿日市市吉和2398
男山神社,広島県安芸高田市吉田町多治比1532
横田八幡神社,広島県安芸高田市美土里町横田2193
龍山神社,広島県安芸高田市八千代町上根1005
海津神社,広島県庄原市東城町小串528
宮脇山八幡神社（福山市内海町）,広島県福山市内海町928-1
鳴石山神社,広島県安芸高田市向原町戸島2827
神田神社,広島県安芸高田市吉田町多治比647
宮地山神社,広島県安芸高田市高宮町来女木1686
高頭神社,広島県安芸高田市向原町有留馬路1703
大歳神社（廿日市市地御前）,広島県廿日市市地御前4-12-12
岩鏡神社,広島県廿日市市阿品2-18-8
亀山神社（廿日市市浅原）,広島県廿日市市浅原本郷3079
新宮神社（廿日市市永原）,広島県廿日市市永原892
海津神社,広島県庄原市東城町小串528
宮脇山八幡神社（福山市内海町）,広島県福山市内海町928-1
廿日市天満宮,広島県廿日市市天神3-2
御幸山神社,広島県廿日市市玖島4461
若一神社（広島県安芸高田市）,広島県安芸高田市甲田町浅塚376
廣田神社,広島県廿日市市串戸3-7-1
水神社（広島県廿日市市）,広島県廿日市市津田4962-2
龍宮神社（広島県廿日市市）,広島県廿日市市地御前5-6-16
河内神社（廿日市市虫所山）,広島県廿日市市虫所山77-2
河内神社（廿日市市栗栖）,広島県廿日市市栗栖140
海津神社,広島県庄原市東城町小串528
宮脇山八幡神社（福山市内海町）,広島県福山市内海町928-1
八坂神社（廿日市市津田）,広島県廿日市市津田3801-2
郡戸八幡神社,広島県東広島市河内町河戸2710
丸山八幡神社,広島県東広島市高屋町貞重1169
穀神社（東広島市安芸津町）,広島県東広島市安芸津町風早2558
國津神社（東広島市豊栄町）,広島県東広島市豊栄町鍛冶屋660
胡子社/恵比壽神社,広島県東広島市黒瀬町小多田159-1
穀神社（東広島市黒瀬町）,広島県東広島市黒瀬町川角400
八幡神社（東広島市高屋町）,広島県東広島市高屋町造賀8119
海津神社,広島県庄原市東城町小串528
宮脇山八幡神社（福山市内海町）,広島県福山市内海町928-1
中曽山八幡神社,広島県東広島市高屋町造賀3182
澁神社,広島県東広島市黒瀬町宗近柳国3091
八幡神社（東広島市河内町）,広島県東広島市河内町小田1858
伊勢神社（廿日市市原）,広島県廿日市市原中小路1101
宮内天王社,広島県廿日市市宮内砂原1701
新宮神社（廿日市市友田）,広島県廿日市市友田789-3
荒神社（東広島市安芸津町）,広島県東広島市安芸津町大田917
二之宮八幡神社,広島県東広島市河内町入野862
海津神社,広島県庄原市東城町小串528
宮脇山八幡神社（福山市内海町）,広島県福山市内海町928-1
加茂神社（東広島市豊栄町）,広島県東広島市豊栄町能良618
重松神社,広島県東広島市安芸津町木谷415
諏訪神社（東広島市河内町）,広島県東広島市河内町入野985
樂市八幡宮,広島県東広島市高屋町杵原2128
馬社神社,広島県東広島市高屋町造賀7391
筥崎権現神社,広島県東広島市安芸津町風早1367
白鳥神社,広島県東広島市高屋町郷354
岡郷穀神社,広島県東広島市黒瀬町乃美尾4209
海津神社,広島県庄原市東城町小串528
宮脇山八幡神社（福山市内海町）,広島県福山市内海町928-1
金持神社,鳥取県日野郡日野町金持
天穂日命神社,鳥取県鳥取市福井字宮ノ谷361
諏訪神社 (智頭町),鳥取県八頭郡智頭町大字智頭宮前
名和神社,鳥取県西伯郡大山町名和556
茂宇気神社,鳥取県鳥取市鹿野町河内
大神山神社奥宮,鳥取県西伯郡大山町大山１
樗谿神社,鳥取県鳥取市上町87
加茂神社 (倉吉市),鳥取県倉吉市葵町586
宇倍神社,鳥取県鳥取市国府町宮下字一宮651
倭文神社 (湯梨浜町),鳥取県東伯郡湯梨浜町大字宮内754
佐香神社,島根県出雲市小境町108
万九千神社・立虫神社,島根県出雲市斐川町併川３２２
朝山神社,島根県出雲市朝山町1404
出雲大社,島根県出雲市大社町杵築東195
日御碕神社,島根県出雲市大社町日御碕455
美保神社,島根県松江市美保関町美保関608
八重山神社,島根県雲南市掛合町入間50
玉若酢命神社,島根県隠岐郡隠岐の島町下西701
須佐神社 (出雲市),島根県出雲市佐田町須佐730
玉作湯神社,島根県松江市玉湯町玉造508
八重垣神社,島根県松江市佐草町227
玉作湯神社,島根県松江市玉湯町玉造508
玉若酢命神社,島根県隠岐郡隠岐の島町下西701
大山神社,島根県出雲市小山町110
松江護國神社,島根県松江市殿町1-15
濱田護國神社,島根県浜田市殿町123-10
金刀比羅宮出雲分社,島根県出雲市斐川町直江町1067-3
売布神社 (松江市),島根県松江市和多見町81
高津柿本神社,島根県益田市高津町上市イ−２６１６−１
八重山神社,島根県雲南市掛合町入間50
佐太神社,島根県松江市鹿島町佐陀宮内73
須佐神社 (出雲市),島根県出雲市佐田町須佐730
須我神社（雲南市）,島根県雲南市大東町須賀260
由良比女神社,島根県隠岐郡西ノ島町浦郷922
物部神社 (大田市),島根県大田市川合町川合1545
水若酢神社,島根県隠岐郡隠岐の島町郡723
熊野大社,島根県松江市八雲町熊野2451
元乃隅稲成神社,山口県長門市油谷津黄498
住吉神社 (下関市),山口県下関市一の宮住吉一丁目11-1
玉祖神社,山口県防府市大字大崎1690
防府天満宮,山口県防府市松崎町１４－１
三坂神社（山口市）,山口県山口市徳地岸見第557
豊榮神社・野田神社,山口県山口市天花1-1-2
古熊神社,山口県山口市古熊1丁目10-3
山口県護国神社,山口県山口市宮野下1932
忌宮神社,山口県下関市長府宮の内1-18
児玉神社 (周南市),山口県周南市児玉町1丁目
出雲神社（山口市徳地堀）,山口県山口市徳地堀3572
遠石八幡宮,山口県周南市遠石2-3-1
若宮八幡天満宮,山口県周南市若宮町1
乃木神社 (下関市),山口県下関市長府宮の内町3-8
須賀神社,山口県山口市徳地小古祖419
赤間神宮,山口県下関市阿弥陀寺町4-1
白鳥神社 (東かがわ市),香川県東かがわ市松原69番地
神谷神社,香川県坂出市神谷町621番地
白山神社 (三木町),香川県木田郡三木町大字下高岡973番地
鶴尾神社,香川県高松市西春日町1062-1
滝宮天満宮,香川県綾歌郡綾川町大字滝宮1314番地
熊野権現桃太郎神社/桃太郎神社 (高松市),香川県高松市鬼無町鬼無848番地
香川縣護國神社,香川県善通寺市文京町四丁目5番5号
琴弾八幡宮,香川県観音寺市八幡町一丁目1番1号
金刀比羅宮,香川県仲多度郡琴平町892-1
田村神社 (高松市),香川県高松市一宮町字宮東286番地
諏訪神社 (徳島市),徳島県徳島市南佐古三番町字諏訪山21番
徳島縣護國神社,徳島県徳島市雑賀町東開21-1
徳島眉山天神社,徳島県徳島市眉山町天神山1
忌部神社,徳島県徳島市二軒屋町2丁目48
一宮神社（徳島市一宮町）,徳島県徳島市一宮町西丁237
春日神社 (徳島市),徳島県徳島市眉山町大滝山1
金刀比羅神社 (徳島市),徳島県徳島市勢見町1丁目1
大麻比古神社,徳島県鳴門市大麻町板東字広塚13
八倉比売神社,徳島県徳島市国府町矢野５３１
上一宮大粟神社,徳島県名西郡神山町神領字西上角３３０
大山祇神社,愛媛県今治市大三島町宮浦3327番地
石鎚神社,愛媛県西条市西田甲797番地
三嶋神社（愛媛県伊予郡）,愛媛県伊予郡砥部町麻生32
金刀比羅神社,愛媛県大洲市新谷乙1778
山内神社（松山市）,愛媛県松山市南江戸5-1506
三島神社（八幡浜市）,愛媛県八幡浜市保内町宮内5-1
大山積神社,愛媛県松山市石手2-10-6
三嶋神社（愛媛県西条市）,愛媛県西条市小松町新屋敷甲2234
西條神社,愛媛県西条市大町1159
三島神社（大洲市）,愛媛県大洲市蔵川甲2282
三島神社（伊予市）,愛媛県伊予市双海町上灘宮之下126
綱敷天満神社 (今治市),愛媛県今治市桜井6丁目2-1
出雲大社松山分祠,愛媛県松山市本町3-5-5
伊曽乃神社,愛媛県西条市中野甲1649
別宮大山祇神社,愛媛県今治市別宮町3-6-1
住吉神社（松山市）,愛媛県松山市西垣生町1369
愛媛縣護國神社,愛媛県松山市御幸町1丁目476
金刀比羅宮松山分社,愛媛県松山市新立町3-14
金刀比羅神社,愛媛県松山市高浜町4乙74
客金刀比羅神社,愛媛県今治市菊間町池原1088
金刀比羅神社,愛媛県松山市北吉田町512
松山神社,愛媛県松山市祝谷東町640
伊加奈志神社,愛媛県今治市五十嵐山ノ上甲634
加茂神社 (今治市),愛媛県今治市菊間町浜1991
三島神社（伊予市）,愛媛県伊予市双海町高岸甲1320
三島神社（松山市）,愛媛県松山市吉藤1-2-25
水天宮,愛媛県東温市横河原521-6
三島神社（松山市）,愛媛県松山市久万ノ台1278
多賀神社（松山市）,愛媛県松山市新立町4-23
天満神社 (愛媛県伊予郡),愛媛県伊予郡砥部町宮内1957-1
三島神社（今治市）,愛媛県今治市郷本町3
潮江天満宮,高知県高知市天神町19-20
白山神社 (土佐清水市),高知県土佐清水市足摺岬1351-3
高知縣護國神社,高知県高知市吸江213
佐川龍馬神社/龍馬神社,高知県高岡郡佐川町川ノ内組118周辺（龍馬公園内）
山内神社,高知県高知市鷹匠町2-4-65
熊野神社 (馬路村),高知県安芸郡馬路村大字八川
土佐神社,高知県高知市一宮しなね2丁目16-1
太宰府天満宮,福岡県太宰府市宰府4丁目7番1号
八坂神社,福岡県北九州市小倉北区城内二の二
水田天満宮,福岡県筑後市水田62-1
東郷神社 (福津市),福岡県福津市渡1815番地1
水鏡天満宮,福岡県福岡市中央区天神一丁目15番4号
宗像大社（中津宮）,福岡県宗像市大島1811
劔神社 (直方市),福岡県直方市下新入2565
細石神社,福岡県糸島市三雲432
戸明神社,福岡県北九州市若松区蜑住866番地
福岡縣護國神社,福岡県福岡市中央区六本松1-1-1
宮地嶽神社,福岡県福津市宮司元町7-1
老松神社（福岡市南区鶴田）,福岡県福岡市南区鶴田3-2-3
宗像大社（中津宮）,福岡県宗像市大島1811
北野天満宮 (久留米市),福岡県久留米市北野町中3267
細石神社,福岡県糸島市三雲432
戸明神社,福岡県北九州市若松区蜑住866番地
綱敷天満宮 (福岡市),福岡県福岡市博多区綱場町5-7
劔神社 (直方市),福岡県直方市下新入2565
櫛原天満宮,福岡県久留米市東櫛原町1324番地
白木神社,福岡県糸島市王丸410
志賀海神社,福岡県福岡市東区志賀島877
春日神社 (北九州市),福岡県北九州市八幡西区藤田1丁目10-44
櫛田神社 (福岡市),福岡県福岡市博多区上川端町1－41
風浪宮,福岡県大川市酒見726-1
水天宮 (久留米市),福岡県久留米市瀬下町265
竈門神社,福岡県太宰府市内山883
綱敷天満宮 (築上町),福岡県築上郡築上町高塚794-2
宮地嶽神社,福岡県糸島市高祖625
香椎宮,福岡県福岡市東区香椎4-16-1
宇土庚申神社,福岡県糸島市高祖7-30
宮地嶽神社,福岡県糸島市高祖625
香椎宮,福岡県福岡市東区香椎4-16-1
宇土庚申神社,福岡県糸島市高祖7-30
老松神社（春日市須玖北）,福岡県春日市須玖北5-167
老松宮,福岡県春日市須玖南3-102
宇治神社,福岡県糸島市末永171
地禄天神社,福岡県福岡市早良区野芥2-37-10
杉山稲荷神社,福岡県福岡市早良区西新2-10
仲島地禄神社,福岡県大野城市仲畑4-12
徳満宮,福岡県糸島市高祖1582
老松神社（春日市桜ヶ丘）,福岡県春日市桜ヶ丘6-98
恵蘇八幡宮,福岡県朝倉市山田166
徳満宮,福岡県糸島市高祖1582
天神社,福岡県糸島市高祖1810
須賀神社（福岡県糸島市）,福岡県糸島市西堂819
住吉神社,福岡県糸島市井原1321
高祖神社,福岡県糸島市高祖1578
幸神社,福岡県糸島市高祖281
熊野神社,福岡県糸島市川原916
八幡宮,福岡県糟屋郡粕屋町阿恵288
熊野神社,福岡県春日市岡本2-92
柚須天満宮,福岡県糟屋郡粕屋町柚須2
八幡宮,福岡県糟屋郡粕屋町阿恵288
日守神社,福岡県糟屋郡粕屋町仲原2895
志賀神社,福岡県糟屋郡粕屋町仲原1985
三宮神社,福岡県糟屋郡粕屋町酒殿777-2
岩野天満宮,福岡県糟屋郡粕屋町上大隈319
戸原天満宮,福岡県糟屋郡粕屋町戸原418
岩崎神社,福岡県糟屋郡粕屋町長者原73
春日神社,福岡県筑紫郡那珂川町恵子2-7-13
岩崎神社,福岡県糟屋郡粕屋町長者原73
駕与八幡宮,福岡県糟屋郡粕屋町駕与丁3-9-1
春日神社,福岡県筑紫郡那珂川町恵子2-7-13
古宮八幡宮,福岡県田川郡香春町採銅所2611
水天宮,福岡県久留米市瀬下町265
和田八幡宮,福岡県糟屋郡篠栗町和田674
田中八幡宮,福岡県糟屋郡篠栗町田中60
須賀神社（福岡県糟屋郡）,福岡県糟屋郡篠栗町篠栗5010
高田天神社,福岡県糟屋郡篠栗町高田574
月読神社,福岡県筑後市水田62-1
竈門神社,福岡県太宰府市大字内山883
恋木神社,福岡県筑後市水田62-1
月読神社,福岡県筑後市水田62-1
天神社,福岡県筑紫郡那珂川町後野4-9-1
天神社,福岡県筑紫郡那珂川町道善大字321
松木天神社,福岡県筑紫郡那珂川町松木1-99
十六神社,福岡県筑紫郡那珂川町片縄北1-14-16
御中主神社,福岡県筑紫郡那珂川町片縄東1-5-13
現人神社,福岡県筑紫郡那珂川町仲3-6-20
須賀神社（糟屋郡久山町）,福岡県糟屋郡久山町久原2495
木寄神社,福岡県糟屋郡久山町久原3061
白山宮,福岡県糟屋郡久山町久原188
須賀神社（糟屋郡久山町）,福岡県糟屋郡久山町久原2495
審神者神社,福岡県糟屋郡久山町山田660
若八幡宮,福岡県糟屋郡久山町久原3497
若宮八幡宮,福岡県糟屋郡久山町山田1863
山田邑斎宮,福岡県糟屋郡久山町山田232
三輪神社,福岡県糟屋郡久山町久原2565
黒男神社,福岡県糟屋郡久山町山田1283
野芥櫛田神社,福岡県福岡市早良区野芥4-24-46
老松神社（福岡市早良区）,福岡県福岡市早良区四箇4-13-7
有田宝満神社,福岡県福岡市早良区有田2-20-15
野芥櫛田神社,福岡県福岡市早良区野芥4-24-46
宝満宮（福岡市早良区）,福岡県福岡市早良区小田部3-11-5
保食神社,福岡県福岡市早良区西入部5-12-10
梅林八幡宮,福岡県福岡市早良区梅林6-7-11
天満宮,福岡県福岡市早良区重留6-12-32
天神社,福岡県福岡市早良区四箇3-2-34
中西宮地嶽神社／浦賀神社,福岡県福岡市早良区西新5-11-33
埴安神社,福岡県福岡市早良区次郎丸5-4-41
太郎次郎社,佐賀県佐賀市久保田町徳万町西
織島神社,佐賀県小城市三日月町織島東分
田島神社,佐賀県唐津市呼子町加部島3965
堤雄神社,佐賀県杵島郡江北町佐留志2630
祇園宮,佐賀県三養基郡みやき町簑原
新庄八幡神社,佐賀県佐賀市鍋島町森田2028
佐賀縣護國神社,佐賀県佐賀市川原町8-15
佐嘉神社,佐賀県佐賀市松原2-10-43
祐徳稲荷神社,佐賀県鹿島市古枝
八坂神社・粟嶋神社,佐賀県佐賀市北川副町新郷787
救世神社,佐賀県鹿島市三河内甲3022
西宮神社,佐賀県小城市牛津町柿樋瀬1081
諏訪神社 (唐津市),佐賀県唐津市浜玉町浜崎1181
志賀神社,佐賀県佐賀市川副町早津江津400
男女神社,佐賀県佐賀市大和町大字久留間5109
大江神大神宮,佐賀県杵島郡江北町山口5034-2
江見八幡神社,佐賀県三養基郡みやき町市武江見
八幡神社・天満神社（佐賀市東与賀町田中）,佐賀県佐賀市東与賀町田中
八龍社（佐賀市）,佐賀県佐賀市西与賀町厘外
八幡神社（佐賀市蓮池町見島）,佐賀県佐賀市蓮池町見島
八幡宮（佐賀市東与賀町久池井）,佐賀県佐賀市大和町大字久池井
八竜大明神,佐賀県佐賀市大和町大字池上
日吉神社（佐賀県小城市）,佐賀県小城市三日月町長神田高田
鏡神社（小城市）,佐賀県小城市小城町池上484
岩蔵天山神社,佐賀県小城市小城町岩蔵2348
宇佐神社,佐賀県小城市三日月町道辺
牛尾神社,佐賀県小城市小城町池上
有重神社,佐賀県佐賀市嘉瀬町中原
祇園社,佐賀県佐賀市久保田町久保田
八幡宮（佐賀市東与賀町田中）,佐賀県佐賀市東与賀町田中
八幡神社（佐賀市嘉瀬町）,佐賀県佐賀市嘉瀬町中原93
八幡宮（佐賀市久保泉町）,佐賀県佐賀市久保泉町下和泉
八幡神社（佐賀市東与賀町）,佐賀県佐賀市東与賀町飯盛下飯盛
日子神社（佐賀市）,佐賀県佐賀市西与賀町相応津1
平尾天満宮,佐賀県佐賀市巨勢町修理田
綾部八幡神社,佐賀県三養基郡みやき町大字原古賀2338
伊勢神社,佐賀県佐賀市伊勢町9 - 8
伊萬里神社,佐賀県伊万里市立花町83
稲佐神社,佐賀県杵島郡白石町大字辺田2925
櫛田宮,佐賀県神埼市神埼町神埼419番地1
八幡神社（佐賀県藤津郡）,佐賀県藤津郡太良町多良
大魚神社,佐賀県藤津郡太良町多良1897
太良嶽神社,佐賀県藤津郡太良町多良8378
田手大神宮,佐賀県神埼郡吉野ヶ里町田手
冠者神社,佐賀県神埼市千代田町崎村123
兵動八幡神社・天満神社,佐賀県佐賀市大和町池上
土器山八天神社,佐賀県神埼市神崎町城原3672
仁比山神社,佐賀県神埼市神崎町的1692
白角折神社,佐賀県神埼市神崎町城原
高志神社,佐賀県神埼市千代田町下板1229
若宮神社（神埼市）,佐賀県神埼市千代田町境原851-1
鰐神社/(王仁神社),佐賀県神埼市神崎町志波屋
琴路神社,佐賀県鹿島市大字納富分1939 - 1
松陰神社,佐賀県鹿島市高津原460
